Depth,Width,Mean Loss,Std Loss
0,1,0.6932062625885009,0.0008276895928109424
0,2,0.6934569716453552,0.00031520153835857997
0,3,0.6934661746025086,0.0001583199962829417
1,1,0.5003963649272919,0.011851679946384142
1,2,0.08186673410236836,0.14209603916008057
1,3,0.007760705519467592,0.0008159575524205225
2,1,0.479608941078186,0.01769788284587056
2,2,0.07638484623748809,0.14746153573572432
2,3,0.000793334492482245,0.00022338424267027241
3,1,0.4890112042427063,0.011481578689690443
3,2,0.21823363410076127,0.17731552310080656
3,3,0.0010953118151519447,0.001027348571629862
